formulations_excel_row,source_workbook,source_sheet,source_excel_row,source_sample_id,raw_DMF,raw_NFM,raw_EA,raw_solvent_sum
2,data/source/Bayesian optimization data.xlsx,1,2,1-2,0.74,0.14,0.12,1.0
3,data/source/Bayesian optimization data.xlsx,1,3,1-3,0.79,0.12,0.09,1.0
4,data/source/Bayesian optimization data.xlsx,1,4,1-4,0.84,0.11,0.05,1.0
5,data/source/Bayesian optimization data.xlsx,1,5,1-5,0.84,0.09,0.07,1.0
6,data/source/Bayesian optimization data.xlsx,1,6,1-6,0.92,0.08,0.0,1.0
7,data/source/Bayesian optimization data.xlsx,1,7,1-7,0.8,0.05,0.15,1.0
8,data/source/Bayesian optimization data.xlsx,1,8,1-8,0.88,0.0,0.12,1.0
9,data/source/Bayesian optimization data.xlsx,1,9,2-1,0.75,0.15,0.1,1.0
10,data/source/Bayesian optimization data.xlsx,1,10,2-2,0.74,0.13,0.13,1.0
11,data/source/Bayesian optimization data.xlsx,1,11,2-3,0.87,0.13,0.0,1.0
12,data/source/Bayesian optimization data.xlsx,1,12,2-4,0.82,0.11,0.07,1.0
13,data/source/Bayesian optimization data.xlsx,1,13,2-5,0.86,0.09,0.05,1.0
14,data/source/Bayesian optimization data.xlsx,1,14,2-6,0.84,0.07,0.09,0.9999999999999999
15,data/source/Bayesian optimization data.xlsx,1,15,2-7,0.82,0.05,0.13,1.0
16,data/source/Bayesian optimization data.xlsx,1,16,2-8,0.83,0.0,0.17,1.0
17,data/source/Bayesian optimization data.xlsx,1,17,3-1,0.79,0.16,0.05,1.0
18,data/source/Bayesian optimization data.xlsx,1,18,3-2,0.78,0.14,0.08,1.0
19,data/source/Bayesian optimization data.xlsx,1,19,3-3,0.76,0.12,0.12,1.0
20,data/source/Bayesian optimization data.xlsx,1,20,3-4,0.75,0.1,0.15,1.0
21,data/source/Bayesian optimization data.xlsx,1,21,3-5,0.82,0.08,0.1,0.9999999999999999
22,data/source/Bayesian optimization data.xlsx,1,22,3-6,0.8,0.06,0.14,1.0
23,data/source/Bayesian optimization data.xlsx,1,23,3-7,0.95,0.05,0.0,1.0
24,data/source/Bayesian optimization data.xlsx,1,24,3-8,0.93,0.0,0.07,1.0
25,data/source/Bayesian optimization data.xlsx,1,25,4-1,0.79,0.15,0.06,1.0
26,data/source/Bayesian optimization data.xlsx,1,26,4-2,0.86,0.14,0.0,1.0
27,data/source/Bayesian optimization data.xlsx,1,27,4-3,0.76,0.11,0.13,1.0
28,data/source/Bayesian optimization data.xlsx,1,28,4-4,0.8,0.1,0.1,1.0
29,data/source/Bayesian optimization data.xlsx,1,29,4-5,0.77,0.08,0.15,1.0
30,data/source/Bayesian optimization data.xlsx,1,30,4-6,0.82,0.06,0.12,0.9999999999999999
31,data/source/Bayesian optimization data.xlsx,1,31,4-7,0.86,0.05,0.09,1.0
32,data/source/Bayesian optimization data.xlsx,1,32,4-8,0.95,0.0,0.05,1.0
33,data/source/Bayesian optimization data.xlsx,1,33,5-1,0.74,0.14,0.12,1.0
34,data/source/Bayesian optimization data.xlsx,1,34,5-2,0.78,0.13,0.09,1.0
35,data/source/Bayesian optimization data.xlsx,1,35,5-3,0.82,0.12,0.06,1.0
36,data/source/Bayesian optimization data.xlsx,1,36,5-4,0.89,0.11,0.0,1.0
37,data/source/Bayesian optimization data.xlsx,1,37,5-5,0.84,0.08,0.08,0.9999999999999999
38,data/source/Bayesian optimization data.xlsx,1,38,5-6,0.88,0.07,0.05,1.0
39,data/source/Bayesian optimization data.xlsx,1,39,5-7,0.81,0.04,0.15,1.0
40,data/source/Bayesian optimization data.xlsx,1,40,5-8,0.87,0.0,0.13,1.0
41,data/source/Bayesian optimization data.xlsx,1,41,6-1,0.75,0.14,0.11,1.0
42,data/source/Bayesian optimization data.xlsx,1,42,6-2,0.74,0.12,0.14,1.0
43,data/source/Bayesian optimization data.xlsx,1,43,6-3,0.83,0.12,0.05,1.0
44,data/source/Bayesian optimization data.xlsx,1,44,6-4,0.82,0.1,0.08,0.9999999999999999
